Filename,text,scores,Category
Test100.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1001.jpg,When people ask what I see in you I just smile and look away because I m afraid if they knew they d fall in love with you too,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.7717}",Positive
Test1012.jpg,LOVE ocd aie al Rao,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.7125}",Positive
Test1022.jpg,LOVE,"{'neg': 0.0, 'neu': 0.169, 'pos': 0.831, 'compound': 0.7125}",Positive
Test103.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test105.jpg,n Si,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Random
Test107.jpg,lesbianvenom lesbianvenom straighteners aren t worth ur money i ve been using one for three weeks and i m still definitely a lesbian in all my 20 years of living this has been by far my best joke ever,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.875}",Positive
Test1071.jpg,eee MU WALLA OL em eat nimeel ie not living by society s standards but deep down they wish they had the courage to do the same we Being Gay Proud Quotes www geckoandfly com eS,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.9186}",Positive
Test108.jpg,trased on or was the outcome of the perception and attitudes of the audience toward The majority believed that portrayal of the LGBT commundy in Indian movies was montly negative whale the same in western movies was ponitive und precise Even though the negative putrayal of the LOOBT themes in Indian cinema was pointed out the improvements that have been made were ached pod Following the evidence of quotes of the participants for each theme which isthe source of the discussion Accurate portray al in generat Gemorally I wenadd sary they the portrayal ts gow See some LGBT movies are good amd some are ust chaammna simply make for time pass for enerisinaent Bat the mes mace with efor and all w labs be gonad old move and wh it s it s grout becuase the mumber of LGBT monies which really have LGBT theme and also have some substance in them are very less and even though they are ess 1h they are goo The current theme refers to the accurste portrayal of the LGBT community in movies Some Participants stated that efforts of movies to make the actual depiction of the LOBT life was paying off hecause they were ampron ing an beth content and portrayal Inaccurate portray al tn Indian me vies Wear re speaking ast Indian moves the are mot at all accra became they ave mies what LGBTQ means tm thes Keanmends film she be tihimg that wermuan tat sumdchemts che likes that guy Bt s ihe hem cam she do that When you re krving like that other girl all of a sudden she ges away and saachdenly yom Tl te Bike within seconds you Tl like that guy How ts that ever promsitble,"{'neg': 0.032, 'neu': 0.925, 'pos': 0.042, 'compound': 0.25}",Positive
Test109.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
