Filename,text,Category
Test100.jpg,,Neutral
Test1001.jpg,When people ask what I see in you I just smile and look away because I m afraid if they knew they d fall in love with you too,Positive
Test1012.jpg,LOVE ocd aie al Rao,Positive
Test1022.jpg,LOVE,Positive
Test103.jpg,,Neutral
Test105.jpg,n Si,Neutral
Test107.jpg,lesbianvenom lesbianvenom straighteners aren t worth ur money i ve been using one for three weeks and i m still definitely a lesbian in all my 20 years of living this has been by far my best joke ever,Positive
Test1071.jpg,eee MU WALLA OL em eat nimeel ie not living by society s standards but deep down they wish they had the courage to do the same we Being Gay Proud Quotes www geckoandfly com eS,Positive
Test108.jpg,trased on or was the outcome of the perception and attitudes of the audience toward The majority believed that portrayal of the LGBT commundy in Indian movies was montly negative whale the same in western movies was ponitive und precise Even though the negative putrayal of the LOOBT themes in Indian cinema was pointed out the improvements that have been made were ached pod Following the evidence of quotes of the participants for each theme which isthe source of the discussion Accurate portray al in generat Gemorally I wenadd sary they the portrayal ts gow See some LGBT movies are good amd some are ust chaammna simply make for time pass for enerisinaent Bat the mes mace with efor and all w labs be gonad old move and wh it s it s grout becuase the mumber of LGBT monies which really have LGBT theme and also have some substance in them are very less and even though they are ess 1h they are goo The current theme refers to the accurste portrayal of the LGBT community in movies Some Participants stated that efforts of movies to make the actual depiction of the LOBT life was paying off hecause they were ampron ing an beth content and portrayal Inaccurate portray al tn Indian me vies Wear re speaking ast Indian moves the are mot at all accra became they ave mies what LGBTQ means tm thes Keanmends film she be tihimg that wermuan tat sumdchemts che likes that guy Bt s ihe hem cam she do that When you re krving like that other girl all of a sudden she ges away and saachdenly yom Tl te Bike within seconds you Tl like that guy How ts that ever promsitble,Positive
Test109.jpg,,Neutral
Test1122.jpg,Zeigler author of Fair Play How LGBT Athletes are Claiming their Rightful Place in Sports defied the motion that sports are inberemty homophobic Part of what is keeping gay athletes closeted Zeigher said iy the hyper heteromeninm that exists in locket roams Negative talk about bay people isnot the iste Instead i s the demeaning talk about women,Positive
Test113.jpg,,Neutral
Test114.jpg,,Neutral
Test1161.jpg,,Neutral
Test117.jpg,,Neutral
Test119.jpg,Verizon LTE 10 47 AM 34 HD apologize for anything negative I ve said towards gays and for that matter anyone was young ignorant stupid and in a bad place I ve moved on and learned from my mistakes and am so truly sorry to anyone have offended have nothing against anyone or anything that promotes equality Sorry again 9 i QIWIEFRETILYFUPTILFOIP AIS IDIFIGIHIJPKEL my Z X C V B NM ge Gee a eee,Negative
Test1199.jpg,Do realize what you when you sa ere so gay The way gay is used now a days has a negative connotation Which it should not means brightly colored happy and or homosexual WEAK BOGUS RIDICULOUS FRIVOLOUS CHILDISH ABSURD AWKWARD on FREAKY CHOOSE A WORD WHICH MEANS WHAT YOU MEAN TO SAY IT S ONLY THE SMART THING TO DO te,Negative
Test122.jpg,,Neutral
Test1229.jpg,a coumea Rua Reh a kid have never been able to understand attacks upon the gay community There are so many qualities that make up a human being by the time get through with all the things that really admire about people what they do with their private parts is probably so low on the list that it is irrelevant Sem i tite Lt eer,Positive
