Filename,text,scores,Category
Test100.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1001.jpg,When people ask what I see in you I just smile and look away because I m afraid if they knew they d fall in love with you too,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.7717}",Positive
Test1012.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1022.jpg,LOVE,"{'neg': 0.0, 'neu': 0.169, 'pos': 0.831, 'compound': 0.7125}",Positive
Test103.jpg,Aj ALO aly 160 YEARS OF ATLANTIG STORIES,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Random
Test105.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test107.jpg,lesbianvenom lesbianvenom straighteners aren t worth ur money i ve been using one for three weeks and i m still definitely a lesbian in all my 20 years of living this has been by far my best joke ever,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.875}",Positive
Test1071.jpg,People may hate you for being different and not living by society s standards but deep down they wish they had the courage to do the same oe Being Gay Proud Quotes www geckoandfly com ae en Jaa,"{'neg': 0.048, 'neu': 0.709, 'pos': 0.243, 'compound': 0.8922}",Positive
Test108.jpg,based on or was the outcome of the perception and attitudes of the audience towant it The rmuajerity believed that portrayal of the LGBT community it Indian movies was mostly negative while the same in Weern movies was positive and peccite Even though the negative poetrayal of the LGBT themes in Intisn cinema was pointed out the improvements that have been made were acknnalodged Following is the evidence of quotes of the participants for each theme which isthe source of the discussion Accurate portrayal in general Generally Hossa they the portrayul is goo See some LGBT movies are good and some are pustechainona snipls made for time pass for enaer sinmnent Bat the ones mae with effet wl all will always be goad W s bold moveand uh its it s greut bocstse the munber of LGBT monies which really have LGBT theme soul also hun some substance in thew are very tess und even though they are tess ul they are giant The current theme refers ta the accurate portrayal af the LGBT community in movies Some palticipants stated that efforts of movies to make the actual depiction of the LGBT life was paying off because they were improving in both content and postrayal Inaccurate portrayal in Indian movies Wf you e speaking about Indian movies they ure not at all accurate bevinue they have ma ido what LGBTQ means in this Kusnnaaks file she be tiking that wumaan but sualdenty she liars that guy Is tite baw can she ci that Wiven jou re kning lide tit other girl all of a sublen she syvex wary ard sukenly youll be lke within scours you ll like that guy How is that even possible 35,"{'neg': 0.032, 'neu': 0.923, 'pos': 0.045, 'compound': 0.2287}",Positive
Test109.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
